trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,scenario,averageSize
9,40,20,51618,5231.7170466600055,5.711797797797797,4.276574574574575,long,requestsfourserv,42.0
9,41,20,55337,5231.7170466600055,5.724886886886887,4.394732732732733,long,requestsfourserv,42.0
9,42,20,52732,5231.7170466600055,5.895289289289289,4.6067067067067065,long,requestsfourserv,41.0
9,43,20,54798,5231.7170466600055,6.588012012012012,5.293643643643644,long,requestsfourserv,42.0
9,44,20,49485,5231.7170466600055,5.676016016016016,4.5232492492492495,long,requestsfourserv,42.0
9,45,20,52294,5231.7170466600055,5.7958938938938935,4.786394394394394,long,requestsfourserv,42.0
9,46,20,51981,5231.7170466600055,5.509957957957958,4.550456456456456,long,requestsfourserv,42.0
9,47,20,53368,5231.7170466600055,5.907387387387387,4.929863863863864,long,requestsfourserv,42.0
9,48,20,51938,5231.7170466600055,6.024880880880881,5.003145145145145,long,requestsfourserv,41.0
9,49,20,47854,5231.7170466600055,6.024880880880881,5.003145145145145,long,requestsfourserv,41.0
0,0,19,3188,4970.492076900005,7.052996996996997,5.1365585585585585,short,requestsfourserv,27.0
0,1,20,3437,5037.542076900004,6.378904904904905,4.519985985985986,short,requestsfourserv,26.0
0,2,20,5309,5037.542076900004,5.9148148148148145,4.2044984984984985,short,requestsfourserv,26.0
0,3,20,7039,5037.542076900004,6.1209509509509505,4.385677677677678,short,requestsfourserv,26.0
0,4,18,10894,5111.910219000004,5.758968968968969,4.031317317317317,short,requestsfourserv,27.0
0,5,20,12646,5207.501359200005,5.726742742742743,3.9393653653653655,short,requestsfourserv,26.0
0,6,20,16768,5220.855118200003,5.746576576576577,3.77628028028028,short,requestsfourserv,26.0
0,7,20,17006,5225.231964000004,6.278032032032032,4.097109109109109,short,requestsfourserv,26.0
0,8,20,19864,5225.231964000004,6.5195995995996,4.442928928928929,short,requestsfourserv,27.0
0,9,20,25157,5225.231964000004,5.976994994994995,4.15643043043043,short,requestsfourserv,27.0
0,10,20,30183,5225.231964000004,5.640968968968969,3.863801801801802,short,requestsfourserv,28.0
0,11,20,30089,5225.231964000004,5.931771771771772,4.143661661661661,short,requestsfourserv,27.0
0,12,20,33958,5225.231964000004,5.777837837837838,3.819043043043043,short,requestsfourserv,28.0
0,13,20,31736,5225.231964000004,6.294438438438439,4.234408408408409,short,requestsfourserv,28.0
0,14,20,34606,5225.231964000004,6.332554554554554,4.232790790790791,short,requestsfourserv,28.0
0,15,20,35691,5225.231964000004,6.46221021021021,4.435665665665666,short,requestsfourserv,28.0
0,16,20,35280,5225.231964000004,6.301179179179179,4.184504504504504,short,requestsfourserv,28.0
0,17,20,37167,5225.231964000004,6.41568968968969,4.379893893893894,short,requestsfourserv,28.0
0,18,20,36947,5225.231964000004,6.024984984984985,3.9552312312312314,short,requestsfourserv,28.0
0,19,20,31221,5225.231964000004,6.201457457457457,4.197597597597597,short,requestsfourserv,28.0
0,20,20,41457,5225.231964000004,6.275125125125125,4.367487487487487,short,requestsfourserv,28.0
0,21,20,36163,5225.231964000004,5.884660660660661,4.0191311311311315,short,requestsfourserv,28.0
0,22,20,32794,5225.231964000004,6.020500500500501,4.262018018018018,short,requestsfourserv,27.0
0,23,20,32901,5225.231964000004,6.00821021021021,4.36035035035035,short,requestsfourserv,27.0
0,24,20,32624,5225.231964000004,5.586700700700701,4.00578978978979,short,requestsfourserv,28.0
0,25,20,34752,5225.231964000004,5.467331331331331,3.78832032032032,short,requestsfourserv,28.0
0,26,20,32349,5225.231964000004,5.838194194194195,4.303905905905906,short,requestsfourserv,28.0
0,27,20,34896,5225.231964000004,5.513429429429429,3.959243243243243,short,requestsfourserv,28.0
0,28,20,32648,5225.231964000004,5.439667667667668,3.9561441441441443,short,requestsfourserv,28.0
0,29,20,32638,5225.231964000004,5.239841841841842,3.722232232232232,short,requestsfourserv,28.0
0,30,20,32678,5225.231964000004,5.394950950950951,3.8625765765765765,short,requestsfourserv,28.0
0,31,20,40795,5225.231964000004,5.245583583583584,3.873101101101101,short,requestsfourserv,28.0
0,32,20,37298,5225.231964000004,5.160028028028028,3.6676016016016018,short,requestsfourserv,28.0
0,33,20,34362,5225.231964000004,5.08771971971972,3.6494434434434435,short,requestsfourserv,28.0
0,34,20,37404,5225.231964000004,5.376298298298298,3.8866346346346345,short,requestsfourserv,28.0
0,35,20,39151,5225.231964000004,5.308944944944945,3.816362362362362,short,requestsfourserv,28.0
0,36,20,34399,5225.231964000004,5.250628628628629,3.831011011011011,short,requestsfourserv,28.0
0,37,20,36250,5225.231964000004,5.449031031031031,4.067731731731731,short,requestsfourserv,28.0
0,38,20,36349,5225.231964000004,5.352244244244244,4.027815815815816,short,requestsfourserv,28.0
0,39,20,35504,5225.231964000004,5.315915915915916,3.9345225225225224,short,requestsfourserv,28.0
0,40,20,36290,5225.231964000004,5.1257997997997995,3.7135015015015016,short,requestsfourserv,28.0
0,41,20,34684,5225.231964000004,5.604226226226226,4.194166166166166,short,requestsfourserv,28.0
0,42,20,34917,5225.231964000004,5.781717717717718,4.4210990990990995,short,requestsfourserv,28.0
0,43,20,35659,5225.231964000004,5.368118118118118,3.964064064064064,short,requestsfourserv,28.0
0,44,20,39214,5225.231964000004,5.293061061061061,3.9128948948948947,short,requestsfourserv,28.0
0,45,20,40768,5225.231964000004,5.377833833833834,3.993145145145145,short,requestsfourserv,28.0
0,46,20,39812,5225.231964000004,5.247193193193193,3.898036036036036,short,requestsfourserv,28.0
0,47,20,34359,5225.231964000004,5.28004004004004,3.8848568568568567,short,requestsfourserv,28.0
0,48,20,39032,5225.231964000004,5.494476476476477,4.106876876876877,short,requestsfourserv,28.0
0,49,20,33836,5225.231964000004,5.494476476476477,4.106876876876877,short,requestsfourserv,28.0
1,0,19,2822,4970.492076900005,7.10817017017017,5.03158958958959,short,requestsfourserv,26.0
1,1,19,3419,4970.492076900005,6.564592592592593,4.720276276276277,short,requestsfourserv,26.0
1,2,20,5143,4999.033217100003,6.133011011011011,4.393635635635635,short,requestsfourserv,26.0
1,3,19,8146,5002.086911700004,5.790528528528529,4.145609609609609,short,requestsfourserv,26.0
1,4,18,12242,5146.042233000004,5.906888888888889,4.395063063063063,short,requestsfourserv,26.0
1,5,20,13813,5203.274421000003,5.604242242242242,4.051151151151151,short,requestsfourserv,26.0
1,6,20,16679,5203.274421000003,5.876656656656657,4.2578858858858855,short,requestsfourserv,27.0
1,7,20,18440,5203.274421000003,5.9046486486486485,3.9997337337337338,short,requestsfourserv,27.0
1,8,20,26586,5225.231964000004,6.265531531531532,4.310558558558559,short,requestsfourserv,27.0
1,9,20,27894,5225.231964000004,6.080864864864865,4.221713713713713,short,requestsfourserv,27.0
1,10,20,30432,5225.231964000004,5.3894334334334335,3.71366966966967,short,requestsfourserv,28.0
1,11,20,34028,5225.231964000004,5.526746746746746,3.8828668668668667,short,requestsfourserv,28.0
1,12,20,34349,5225.231964000004,5.412782782782783,3.836246246246246,short,requestsfourserv,28.0
1,13,20,36012,5225.231964000004,5.632206206206206,4.007723723723724,short,requestsfourserv,28.0
1,14,20,40106,5225.231964000004,5.650154154154154,3.9612452452452453,short,requestsfourserv,28.0
1,15,20,32189,5225.231964000004,5.464462462462462,3.7803143143143143,short,requestsfourserv,28.0
1,16,20,37056,5225.231964000004,5.921159159159159,4.105727727727728,short,requestsfourserv,28.0
1,17,20,36334,5225.231964000004,6.087943943943944,4.141975975975976,short,requestsfourserv,29.0
1,18,20,32704,5225.231964000004,6.223265265265265,4.370498498498499,short,requestsfourserv,28.0
1,19,20,33959,5225.231964000004,5.8163643643643645,3.8155295295295297,short,requestsfourserv,28.0
1,20,20,35824,5225.231964000004,6.299211211211211,4.406472472472473,short,requestsfourserv,28.0
1,21,20,38183,5225.231964000004,6.537025025025025,4.62216016016016,short,requestsfourserv,27.0
1,22,20,33632,5225.231964000004,6.5721801801801805,4.750796796796797,short,requestsfourserv,28.0
1,23,20,31354,5225.231964000004,6.1624704704704705,4.211063063063063,short,requestsfourserv,28.0
1,24,20,33942,5225.231964000004,6.034156156156156,4.254152152152153,short,requestsfourserv,28.0
1,25,20,33283,5225.231964000004,5.577705705705705,3.8204864864864865,short,requestsfourserv,28.0
1,26,20,36544,5225.231964000004,5.658862862862863,3.927207207207207,short,requestsfourserv,28.0
1,27,20,32814,5225.231964000004,5.558676676676677,3.8963883883883885,short,requestsfourserv,28.0
1,28,20,32001,5225.231964000004,5.644226226226226,4.008712712712713,short,requestsfourserv,28.0
1,29,20,37569,5225.231964000004,5.520538538538538,3.9802862862862862,short,requestsfourserv,27.0
1,30,20,54139,5225.231964000004,5.017423423423423,3.493021021021021,short,requestsfourserv,28.0
1,31,20,35977,5225.231964000004,5.616528528528528,4.180212212212212,short,requestsfourserv,27.0
1,32,20,32931,5225.231964000004,5.312444444444444,3.869039039039039,short,requestsfourserv,28.0
1,33,20,35250,5225.231964000004,5.525395395395395,4.103425425425425,short,requestsfourserv,27.0
1,34,20,34539,5225.231964000004,5.209353353353353,3.751833833833834,short,requestsfourserv,28.0
1,35,20,34975,5225.231964000004,5.546138138138138,4.244752752752753,short,requestsfourserv,27.0
1,36,20,34081,5225.231964000004,5.143481481481482,3.723081081081081,short,requestsfourserv,28.0
1,37,20,32584,5225.231964000004,5.39407007007007,3.9886786786786788,short,requestsfourserv,28.0
1,38,20,49827,5225.231964000004,5.361481481481482,3.8992712712712714,short,requestsfourserv,27.0
1,39,20,33421,5225.231964000004,5.432722722722723,4.072018018018018,short,requestsfourserv,27.0
1,40,20,36518,5225.231964000004,5.380472472472473,3.899095095095095,short,requestsfourserv,28.0
1,41,20,32562,5225.231964000004,5.917107107107107,4.588932932932933,short,requestsfourserv,27.0
1,42,20,31606,5225.231964000004,5.349955955955956,3.9818818818818817,short,requestsfourserv,27.0
1,43,20,31829,5225.231964000004,5.41576976976977,3.9953793793793793,short,requestsfourserv,26.0
1,44,20,30676,5225.231964000004,5.535239239239239,4.085197197197197,short,requestsfourserv,26.0
1,45,20,30001,5225.231964000004,5.448906906906907,3.939785785785786,short,requestsfourserv,26.0
1,46,20,31560,5225.231964000004,5.493335335335336,4.043109109109109,short,requestsfourserv,26.0
1,47,20,32986,5225.231964000004,5.6777997997998,4.121537537537537,short,requestsfourserv,26.0
1,48,20,30459,5225.231964000004,5.467319319319319,3.976870870870871,short,requestsfourserv,26.0
1,49,20,33573,5225.231964000004,5.467319319319319,3.976870870870871,short,requestsfourserv,26.0
2,0,15,3323,4910.760219000003,6.852896896896897,4.92209009009009,short,requestsfourserv,26.0
2,1,16,3989,4939.3013592000025,6.238372372372372,4.290222222222222,short,requestsfourserv,27.0
2,2,18,5864,4996.533547200003,6.1322002002002005,4.325671671671672,short,requestsfourserv,27.0
2,3,20,7896,5202.018714000004,6.4775175175175175,4.80184984984985,short,requestsfourserv,27.0
2,4,20,10728,5202.018714000004,6.16582982982983,4.619477477477478,short,requestsfourserv,27.0
2,5,20,12931,5202.018714000004,6.318056056056056,4.70593993993994,short,requestsfourserv,27.0
2,6,20,17628,5207.501359200004,6.3248408408408405,4.490674674674675,short,requestsfourserv,27.0
2,7,20,18581,5225.231964000002,6.759451451451452,4.677677677677678,short,requestsfourserv,28.0
2,8,20,23247,5225.231964000002,6.481897897897898,4.558216216216216,short,requestsfourserv,28.0
2,9,20,30376,5225.231964000002,6.796956956956957,4.943985985985986,short,requestsfourserv,28.0
2,10,20,28993,5225.231964000002,6.495147147147147,4.7311811811811815,short,requestsfourserv,28.0
2,11,20,30066,5225.231964000002,5.979039039039039,4.255663663663664,short,requestsfourserv,28.0
2,12,20,34660,5225.231964000002,5.969101101101101,4.17255055055055,short,requestsfourserv,28.0
2,13,20,35216,5225.231964000002,5.612614614614615,3.9088728728728728,short,requestsfourserv,28.0
2,14,20,35736,5225.231964000002,5.590974974974975,3.818904904904905,short,requestsfourserv,28.0
2,15,20,34034,5225.231964000002,5.377851851851852,3.6074454454454457,short,requestsfourserv,28.0
2,16,20,34377,5225.231964000002,5.225567567567568,3.461195195195195,short,requestsfourserv,28.0
2,17,20,36535,5225.231964000002,5.36036036036036,3.632816816816817,short,requestsfourserv,28.0
2,18,20,77344,5225.231964000004,5.728446446446447,4.0115995995996,short,requestsfourserv,27.0
2,19,20,31381,5225.231964000004,5.156744744744745,3.517195195195195,short,requestsfourserv,28.0
2,20,20,35463,5225.231964000004,5.492398398398398,3.8474674674674674,short,requestsfourserv,28.0
2,21,20,29994,5225.231964000004,5.59336936936937,4.0037997997998,short,requestsfourserv,27.0
