generations,popSize,crossoverChance,mutationChance,reproductionChance,killRatio,invalidActionPenalty,verbosenessPenalty,minAcceptedImprovement,size,runtime,profit
30,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.001,15,13231,2992.4040134997713
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.1,0.001,15,12064,2991.4659807500157
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.1,0.001,15,12498,2992.23737443153
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.1,0.001,17,11579,2992.7159298480096
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.1,0.001,15,12191,2992.1427502477295
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.1,0.001,14,14253,2993.004211199057
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.1,0.001,14,10856,2992.0537647463516
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.1,0.001,15,12162,2992.040180221914
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.1,0.001,14,15284,2992.0273580359194
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.1,0.001,18,12034,2992.7712429425496
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.1,0.001,20,13697,2993.0110710893878
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.01,0.001,18,14117,2992.2115661192374
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.01,0.001,19,12878,2992.224909607805
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.01,0.001,19,12071,2991.9958359561133
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.01,0.001,18,15656,2992.211566119238
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.01,0.001,20,13750,2993.4425851268734
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.01,0.001,15,11468,2992.1336388832365
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.01,0.001,17,12177,2993.436148863336
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.01,0.001,18,14085,2992.7435707982777
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.01,0.001,16,13318,2992.578235923305
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.01,0.001,19,14900,2993.424345662872
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.001,16,10865,2991.4933637660124
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.001,20,14441,2992.162436462244
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.001,19,11443,2991.9958359561133
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.001,18,12847,2991.506476844889
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.001,18,12722,2991.50815236418
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.001,19,13618,2992.723787456263
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.001,15,12063,2992.1098409728393
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.001,16,12161,2991.493363766013
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.001,18,12704,2992.578622619091
30,1000,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.001,19,15109,2992.824465680142
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.1,0.001,13,13378,2991.3383751966194
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.1,0.001,14,12490,2991.36846692276
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.1,0.001,14,10484,2991.3931416636724
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.1,0.001,15,13724,2992.2717063738833
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.1,0.001,18,13213,2992.97549403363
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.1,0.001,16,10421,2992.910200594999
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.1,0.001,14,14120,2991.36846692276
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.1,0.001,14,12632,2991.4121565927826
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.1,0.001,14,12767,2992.4026383336204
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.1,0.001,17,13622,2993.026857166201
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.01,0.001,18,13632,2992.2115661192365
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.01,0.001,15,13005,2992.414652312402
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.01,0.001,19,12696,2992.224909607806
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.01,0.001,19,12595,2992.224909607804
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.01,0.001,15,13106,2993.3774034257904
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.01,0.001,17,11469,2991.981133615756
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.01,0.001,16,13833,2992.102112934726
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.01,0.001,16,13016,2992.6060990318306
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.01,0.001,18,12820,2992.8490487335007
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.01,0.001,18,14792,2992.6837022295194
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.0,0.001,17,12128,2991.493997993929
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.0,0.001,19,12982,2992.4598044490826
30,1000,0.8,0.19999999999999996,0.0,0.0,0.0,0.0,0.001,20,12176,2992.203292319121
