trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,buildProb,runtimeKill,scenario,averageSize
0,16,20,347399,5.083486933199199E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,42.0
0,17,20,356102,5.0853627457156226E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,42.0
0,18,20,348015,5.099533097659458E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,42.0
0,19,20,364038,5.099533097659458E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,41.0
0,20,18,379067,5.105448012288004E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,40.0
0,21,20,363377,5.1406774718901634E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,40.0
0,22,20,378795,5.1406774718901634E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,40.0
0,23,20,433044,5.1406774718901634E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,39.0
0,24,20,423176,5.1406774718901634E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,39.0
0,25,20,448735,5.1406774718901634E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,38.0
0,26,20,455141,5.1406774718901634E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,38.0
0,27,20,446817,5.1406774718901634E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,39.0
0,28,20,513124,5.1406774718901634E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,40.0
0,29,20,553712,5.1406774718901634E7,-1.0,-1.0,long,mutator,0.0,1.0,requestsfourserv,40.0
0,0,20,348820,3.68207594928164E7,-1.0,-1.0,long,mutator,0.25,1.0,requestsfourserv,37.0
0,0,11,330960,2.1838317327107504E7,-1.0,-1.0,long,mutator,0.5,1.0,requestsfourserv,33.0
0,0,20,362326,4.21513780978694E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,36.0
0,1,20,131709,4.4629990547649495E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,35.0
0,2,16,195155,4.695958747450706E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,35.0
0,3,16,135487,4.695958747450706E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,35.0
0,4,16,195869,4.695958747450706E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,36.0
0,5,20,117024,4.809418289991615E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,35.0
0,6,19,145188,4.869981588879526E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,33.0
0,7,19,137771,4.869981588879526E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,34.0
0,8,19,177744,4.869981588879526E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,35.0
0,9,19,161233,4.869981588879526E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,36.0
0,10,20,154851,4.915142811999525E7,-1.0,-1.0,long,mutator,0.75,1.0,requestsfourserv,35.0
