trial,generation,size,runtime,profit
1,28,20,8140,4933.991896700003
1,29,20,8403,4933.991896700003
2,0,15,1794,4836.260219000003
2,1,15,2178,4836.260219000003
2,2,16,2080,4878.155118200003
2,3,20,2981,4928.542721060002
2,4,20,4585,4928.542721060002
2,5,20,5916,4933.991896700003
2,6,20,6846,4933.991896700003
2,7,20,7865,4933.991896700003
2,8,20,7609,4933.991896700003
2,9,20,7796,4933.991896700003
2,10,20,8821,4933.991896700003
2,11,20,9068,4933.991896700003
2,12,20,8711,4933.991896700003
2,13,20,7949,4933.991896700003
2,14,20,8141,4933.991896700003
2,15,20,7662,4933.991896700003
2,16,20,7715,4933.991896700003
2,17,20,8287,4933.991896700003
2,18,20,8320,4933.991896700003
2,19,20,7758,4933.991896700003
2,20,20,9002,4933.991896700003
2,21,20,9143,4933.991896700003
2,22,20,8044,4933.991896700003
2,23,20,7890,4933.991896700003
2,24,20,8335,4933.991896700003
2,25,20,8699,4933.991896700003
2,26,20,8518,4933.991896700003
2,27,20,8858,4933.991896700003
2,28,20,8177,4933.991896700003
2,29,20,7968,4933.991896700003
3,0,19,2442,4895.992076900004
3,1,20,2277,4924.533217100004
3,2,20,3138,4924.533217100004
3,3,20,3119,4924.533217100004
3,4,20,5167,4930.571149700004
3,5,20,6141,4930.571149700004
3,6,20,7620,4933.991896700003
3,7,20,7934,4933.991896700003
3,8,20,8044,4933.991896700003
3,9,20,7503,4933.991896700003
3,10,20,8471,4933.991896700003
3,11,20,8519,4933.991896700003
3,12,20,8096,4933.991896700003
3,13,20,7906,4933.991896700003
3,14,20,8519,4933.991896700003
3,15,20,7737,4933.991896700003
3,16,20,8474,4933.991896700003
3,17,20,8794,4933.991896700003
3,18,20,8345,4933.991896700003
3,19,20,7828,4933.991896700003
3,20,20,7547,4933.991896700003
3,21,20,7946,4933.991896700003
3,22,20,7582,4933.991896700003
3,23,20,8297,4933.991896700003
3,24,20,7955,4933.991896700003
3,25,20,6578,4933.991896700003
3,26,20,7480,4933.991896700003
3,27,20,8130,4933.991896700003
3,28,20,8400,4933.991896700003
3,29,20,7697,4933.991896700003
4,0,19,2290,4895.992076900004
4,1,19,2651,4895.992076900004
4,2,20,2870,4924.533217100004
4,3,20,3276,4924.533217100004
4,4,20,4894,4933.991896700003
4,5,20,7420,4933.991896700003
4,6,20,7437,4933.991896700003
4,7,20,7648,4933.991896700003
4,8,20,7979,4933.991896700003
4,9,20,8053,4933.991896700003
4,10,20,8751,4933.991896700003
4,11,20,8220,4933.991896700003
4,12,20,8046,4933.991896700003
4,13,20,8203,4933.991896700003
4,14,20,8213,4933.991896700003
4,15,20,7693,4933.991896700003
4,16,20,8172,4933.991896700003
4,17,20,8034,4933.991896700003
4,18,20,8497,4933.991896700003
4,19,20,8062,4933.991896700003
4,20,20,8269,4933.991896700003
4,21,20,8365,4933.991896700003
4,22,20,8141,4933.991896700003
4,23,20,8281,4933.991896700003
4,24,20,8642,4933.991896700003
4,25,20,8434,4933.991896700003
4,26,20,8603,4933.991896700003
4,27,20,7916,4933.991896700003
4,28,20,8826,4933.991896700003
4,29,20,9108,4933.991896700003
5,0,15,2449,4836.260219000003
5,1,18,2600,4917.4780892000035
5,2,19,2732,4918.580474000004
5,3,19,2707,4923.031453700003
5,4,20,3213,4933.991896700003
5,5,20,5121,4933.991896700003
5,6,20,6950,4933.991896700003
5,7,20,8152,4933.991896700003
5,8,20,8648,4933.991896700003
5,9,20,8123,4933.991896700003
5,10,20,8435,4933.991896700003
5,11,20,8504,4933.991896700003
5,12,20,8285,4933.991896700003
5,13,20,7686,4933.991896700003
5,14,20,8383,4933.991896700003
5,15,20,9052,4933.991896700003
5,16,20,8168,4933.991896700003
5,17,20,8098,4933.991896700003
5,18,20,9329,4933.991896700003
5,19,20,8773,4933.991896700003
5,20,20,8046,4933.991896700003
5,21,20,8459,4933.991896700003
5,22,20,8252,4933.991896700003
5,23,20,8559,4933.991896700003
5,24,20,8652,4933.991896700003
5,25,20,8333,4933.991896700003
5,26,20,8738,4933.991896700003
5,27,20,9072,4933.991896700003
5,28,20,8888,4933.991896700003
5,29,20,8737,4933.991896700003
6,0,15,2064,4836.260219000003
6,1,16,2251,4878.155118200003
6,2,17,2388,4911.073104200003
6,3,20,3105,4924.533217100003
6,4,19,4471,4928.4385322000035
6,5,20,6014,4933.991896700004
6,6,20,7810,4933.991896700004
6,7,20,8964,4933.991896700002
6,8,20,8840,4933.991896700002
6,9,20,7311,4933.991896700002
6,10,20,8175,4933.991896700002
6,11,20,8746,4933.991896700002
6,12,20,8440,4933.991896700003
6,13,20,7872,4933.991896700003
6,14,20,8202,4933.991896700003
6,15,20,8210,4933.991896700003
6,16,20,8863,4933.991896700003
6,17,20,8680,4933.991896700003
