trial,generation,size,runtime,profit
7,18,20,8360,4930.571149700003
7,19,20,7901,4933.991896700004
7,20,20,7852,4933.991896700004
7,21,20,8056,4933.991896700004
7,22,20,7926,4933.991896700004
7,23,20,8647,4933.991896700004
7,24,20,8474,4933.991896700004
7,25,20,9449,4933.991896700004
7,26,20,9406,4933.991896700004
7,27,20,8812,4933.991896700004
7,28,20,9290,4933.991896700004
7,29,20,8659,4933.991896700004
8,0,6,112,2873.300000000001
8,1,8,42,3476.8279760000014
8,2,20,157,4185.27999998078
8,3,12,176,4328.420000000002
8,4,16,500,4543.4433249500025
8,5,13,803,4682.849990000002
8,6,19,1534,4843.203906110002
8,7,17,2246,4883.708482700003
8,8,18,2613,4907.781305600003
8,9,20,3250,4922.796854446758
8,10,19,4560,4928.438532200002
8,11,20,5998,4928.900418500004
8,12,20,6097,4933.991896700001
8,13,20,7201,4933.991896700001
8,14,20,6954,4933.991896700001
8,15,20,7683,4933.991896700001
8,16,20,7531,4933.991896700001
8,17,20,8151,4933.991896700001
8,18,20,8367,4933.991896700001
8,19,20,8700,4933.892106050003
8,20,20,8571,4933.892106050003
8,21,20,8938,4933.892106050003
8,22,20,9322,4933.892106050003
8,23,20,9768,4933.892106050003
8,24,20,9448,4933.892106050003
8,25,20,10514,4934.532604550004
8,26,20,10243,4934.753966102004
8,27,20,9607,4934.753966102004
8,28,20,9256,4934.753966102004
8,29,20,10194,4934.753966102004
9,0,10,156,2762.619892748251
9,1,10,90,3898.9009346000016
9,2,9,126,3965.270000000001
9,3,12,262,4326.601359200002
9,4,18,495,4301.438449370268
9,5,18,998,4438.3299541019
9,6,18,1192,4438.3299541019
9,7,20,1324,4678.057773084319
9,8,19,1302,4789.642541408125
9,9,18,1462,4822.550623475681
9,10,18,1922,4822.550623475681
9,11,18,2148,4904.133327680003
9,12,18,3049,4904.133327680003
9,13,17,3767,4911.073104200003
9,14,20,5331,4923.180004634151
9,15,20,6661,4929.402633213275
9,16,20,7241,4929.484085426584
9,17,20,7741,4929.484085426584
9,18,20,8560,4930.571149700002
9,19,20,7927,4933.991896700003
9,20,20,7649,4933.991896700003
9,21,20,7756,4933.991896700003
9,22,20,8027,4933.991896700003
9,23,20,8972,4933.991896700003
9,24,20,8764,4933.991896700003
9,25,20,9448,4933.991896700003
9,26,20,9221,4933.991896700003
9,27,20,8703,4933.991896700003
9,28,20,9107,4933.991896700003
9,29,20,8815,4933.991896700003
